,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"Instruction_Counts,Malware,66","(0.0, 0.0)","(0.9713221073150635, 0.5951785018667579)","(0.9713221192359924, 0.49913405403494837)","(0.9713188827037811, 0.6866686567664146)","(0.971322113275528, 0.5968870671465993)","(0.9713245213031769, 0.4980339027941227)","(0.9713221073150635, 0.49971671141684054)","(0.971321314573288, 0.5923311591148377)","(0.9713269352912903, 0.6894910529255867)","(0.9713277459144593, 0.5923327742144465)","(0.9713237166404725, 0.5946030801162123)","(0.971322113275528, 0.5053832434117794)",,,0.000 ,0.000 ,0.971 ,0.595 ,0.971 ,0.499 ,0.971 ,0.687 ,0.971 ,0.597 ,0.971 ,0.498 ,0.971 ,0.500 ,0.971 ,0.592 ,0.971 ,0.689 ,0.971 ,0.592 ,0.971 ,0.595 ,0.971 ,0.505 
"Instruction_Counts,Malware,67","(0.0, 0.0)","(0.9713269412517548, 0.9713221073150635)","(0.9713261365890503, 0.9713253378868103)","(0.9713156759738922, 0.9713180840015412)","(0.971322911977768, 0.9713237166404725)","(0.9531394839286804, 0.9713309705257416)","(0.9713245332241058, 0.9713180840015412)","(0.9653594136238098, 0.9713237226009369)","(0.8929693639278412, 0.971320503950119)","(0.8373478919267654, 0.9713253259658814)","(0.4793378174304962, 0.7631398111581802)","(0.6029511645436287, 0.6458255529403687)",,,0.000 ,0.000 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.953 ,0.971 ,0.971 ,0.971 ,0.965 ,0.971 ,0.893 ,0.971 ,0.837 ,0.971 ,0.479 ,0.763 ,0.603 ,0.646 
"Instruction_Counts,Malware,68","(0.0, 0.0)","(0.49748262465000154, 0.5584712266921997)","(0.5584156900644303, 0.5599174261093139)","(0.5445531845092774, 0.5718041837215424)","(0.4564785584807396, 0.5542444676160813)","(0.5124541282653808, 0.5689842015504837)","(0.5028682768344879, 0.5460186898708344)","(0.5564697057008743, 0.5317658722400666)","(0.489862859249115, 0.5374517142772675)","(0.5244519412517548, 0.5093580961227417)","(0.5232383072376251, 0.5258120268583297)","(0.45629345774650576, 0.6014888614416123)",,,0.000 ,0.000 ,0.497 ,0.558 ,0.558 ,0.560 ,0.545 ,0.572 ,0.456 ,0.554 ,0.512 ,0.569 ,0.503 ,0.546 ,0.556 ,0.532 ,0.490 ,0.537 ,0.524 ,0.509 ,0.523 ,0.526 ,0.456 ,0.601 
"Instruction_Counts,Malware,69","(0.0, 0.0)","(0.5307993203401565, 0.39790834933519365)","(0.4111358802765608, 0.39454834908246994)","(0.46966665256768464, 0.5471269056200981)","(0.4074765000492334, 0.4986028872430325)","(0.408523522503674, 0.4769363202154636)","(0.4682244658470154, 0.4593049846589565)","(0.584496520459652, 0.438288691919297)","(0.5815968669950962, 0.5621917620301247)","(0.5815469637513161, 0.33453193251043556)","(0.4918120654299855, 0.478959571197629)","(0.5285434931516647, 0.4002028055489063)",,,0.000 ,0.000 ,0.531 ,0.398 ,0.411 ,0.395 ,0.470 ,0.547 ,0.407 ,0.499 ,0.409 ,0.477 ,0.468 ,0.459 ,0.584 ,0.438 ,0.582 ,0.562 ,0.582 ,0.335 ,0.492 ,0.479 ,0.529 ,0.400 
"Instruction_Counts,Malware,70","(0.0, 0.0)","(0.9713204979896546, 0.9713221073150635)","(0.9713261306285859, 0.9713253378868103)","(0.9713237226009369, 0.9713180840015412)","(0.9690501809120178, 0.9713237166404725)","(0.9664933621883393, 0.9713309705257416)","(0.9653521716594696, 0.9713180840015412)","(0.9630907118320465, 0.9713237226009369)","(0.9605330884456634, 0.971320503950119)","(0.9429283201694488, 0.9713253259658814)","(0.8909750819206238, 0.7631398111581802)","(0.8889792084693908, 0.6458255529403687)",,,0.000 ,0.000 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.971 ,0.969 ,0.971 ,0.966 ,0.971 ,0.965 ,0.971 ,0.963 ,0.971 ,0.961 ,0.971 ,0.943 ,0.971 ,0.891 ,0.763 ,0.889 ,0.646 
"Instruction_Counts,Malware,71","(0.0, 0.0)","(0.4270361244678497, 0.5584712266921997)","(0.4165247559547424, 0.5599174261093139)","(0.4329947859048843, 0.5718041837215424)","(0.41907593607902527, 0.5542444676160813)","(0.4219136357307434, 0.5689842015504837)","(0.4324282079935074, 0.5460186898708344)","(0.4897992819547653, 0.5317658722400666)","(0.49230137169361116, 0.5374517142772675)","(0.44009061753749845, 0.5093580961227417)","(0.446622297167778, 0.5258120268583297)","(0.44660781025886537, 0.6014888614416123)",,,0.000 ,0.000 ,0.427 ,0.558 ,0.417 ,0.560 ,0.433 ,0.572 ,0.419 ,0.554 ,0.422 ,0.569 ,0.432 ,0.546 ,0.490 ,0.532 ,0.492 ,0.537 ,0.440 ,0.509 ,0.447 ,0.526 ,0.447 ,0.601 
"Instruction_Counts,Malware,72","(0.0, 0.0)","(0.5854566335678101, 0.39790834933519365)","(0.5848981142044067, 0.39454834908246994)","(0.591992336511612, 0.5471269056200981)","(0.5863274276256562, 0.4986028872430325)","(0.579488319158554, 0.4769363202154636)","(0.5925540804862977, 0.4593049846589565)","(0.588015866279602, 0.438288691919297)","(0.5863177657127381, 0.5621917620301247)","(0.5857423543930054, 0.33453193251043556)","(0.5826205611228943, 0.478959571197629)","(0.5874388337135314, 0.4002028055489063)",,,0.000 ,0.000 ,0.585 ,0.398 ,0.585 ,0.395 ,0.592 ,0.547 ,0.586 ,0.499 ,0.579 ,0.477 ,0.593 ,0.459 ,0.588 ,0.438 ,0.586 ,0.562 ,0.586 ,0.335 ,0.583 ,0.479 ,0.587 ,0.400 
"Image_Classification,CWE,19_121","(0.0, 0.0)","(0.5000854849815368, 0.8013797402381897)","(0.5001098990440369, 0.8453846126794815)","(0.5001221030950547, 0.7422100126743316)","(0.5000244289636612, 0.7124420136213303)","(0.5001587420701981, 0.7353479951620102)","(0.5000000149011612, 0.5905128329992294)","(0.5001587450504303, 0.601770457625389)","(0.5000488549470902, 0.6173382312059402)","(0.4998657047748566, 0.6932967096567154)","(0.5001587420701981, 0.515140426158905)","(0.499890124797821, 0.5047008663415908)",,,0.000 ,0.000 ,0.500 ,0.801 ,0.500 ,0.845 ,0.500 ,0.742 ,0.500 ,0.712 ,0.500 ,0.735 ,0.500 ,0.591 ,0.500 ,0.602 ,0.500 ,0.617 ,0.500 ,0.693 ,0.500 ,0.515 ,0.500 ,0.505 
"Image_Classification,CWE,19_122","(0.0, 0.0)","(0.49999999105930326, 0.9865789413452148)","(0.5000000059604645, 0.8336842000484467)","(0.5000000059604645, 0.9802631616592408)","(0.5000000029802323, 0.9763157844543457)","(0.5000000089406967, 0.8907894790172577)","(0.5000000029802323, 0.7447368383407593)","(0.5000000089406967, 0.9063157856464386)","(0.5000000059604645, 0.7260526299476624)","(0.49999999403953554, 0.6442105293273925)","(0.5, 0.6807894706726074)","(0.5, 0.5897368518635631)",,,0.000 ,0.000 ,0.500 ,0.987 ,0.500 ,0.834 ,0.500 ,0.980 ,0.500 ,0.976 ,0.500 ,0.891 ,0.500 ,0.745 ,0.500 ,0.906 ,0.500 ,0.726 ,0.500 ,0.644 ,0.500 ,0.681 ,0.500 ,0.590 
"Image_Classification,CWE,19_124","(0.0, 0.0)","(0.4999999970197678, 0.757142859697342)","(0.5000000029802323, 0.8125000059604645)","(0.5000000029802323, 0.6517857074737549)","(0.5000000059604645, 0.6374999970197678)","(0.5000000029802323, 0.7392857193946838)","(0.5000000059604645, 0.7714285731315613)","(0.5, 0.6357142806053162)","(0.5000000059604645, 0.6821428596973419)","(0.5000000089406967, 0.5803571470081806)","(0.5, 0.5107142888009548)","(0.5000000029802323, 0.441071429848671)",,,0.000 ,0.000 ,0.500 ,0.757 ,0.500 ,0.813 ,0.500 ,0.652 ,0.500 ,0.637 ,0.500 ,0.739 ,0.500 ,0.771 ,0.500 ,0.636 ,0.500 ,0.682 ,0.500 ,0.580 ,0.500 ,0.511 ,0.500 ,0.441 
"Image_Classification,CWE,19_126","(0.0, 0.0)","(0.5000000029802323, 0.6813725531101227)","(0.4998217523097992, 0.6614081978797912)","(0.4997326284646988, 0.6459001779556275)","(0.5000891357660293, 0.755614984035492)","(0.49946525394916536, 0.6541889488697052)","(0.5006238907575608, 0.6682709485292435)","(0.5004456400871277, 0.6349376201629638)","(0.49991088509559634, 0.6106060713529586)","(0.5006238967180252, 0.5730837836861611)","(0.5005347639322281, 0.5746880680322647)","(0.5002673894166947, 0.4913547307252884)",,,0.000 ,0.000 ,0.500 ,0.681 ,0.500 ,0.661 ,0.500 ,0.646 ,0.500 ,0.756 ,0.499 ,0.654 ,0.501 ,0.668 ,0.500 ,0.635 ,0.500 ,0.611 ,0.501 ,0.573 ,0.501 ,0.575 ,0.500 ,0.491 
"Image_Classification,CWE,19_127","(0.0, 0.0)","(0.5, 0.7982142835855484)","(0.5000000059604645, 0.6839285731315613)","(0.5000000059604645, 0.6160714238882065)","(0.5000000059604645, 0.7910714328289032)","(0.5, 0.6107142895460129)","(0.5, 0.6446428567171096)","(0.5000000119209289, 0.5785714358091354)","(0.4999999970197678, 0.5499999962747097)","(0.49999999403953554, 0.5017857179045677)","(0.5000000149011612, 0.5732142835855484)","(0.5000000059604645, 0.5732142925262451)",,,0.000 ,0.000 ,0.500 ,0.798 ,0.500 ,0.684 ,0.500 ,0.616 ,0.500 ,0.791 ,0.500 ,0.611 ,0.500 ,0.645 ,0.500 ,0.579 ,0.500 ,0.550 ,0.500 ,0.502 ,0.500 ,0.573 ,0.500 ,0.573 
"Image_Classification,CWE,19_134","(0.0, 0.0)","(0.5, 0.6783783793449402)","(0.4999999970197678, 0.5702702671289444)","(0.5000000029802323, 0.5729729771614075)","(0.49999998807907103, 0.6567567557096481)","(0.5, 0.6108108073472976)","(0.5, 0.47567567229270935)","(0.5000000029802323, 0.540540537238121)","(0.5000000029802323, 0.6135135114192962)","(0.49999999403953554, 0.46756756901741026)","(0.5, 0.5756756722927093)","(0.5000000029802323, 0.5027027040719986)",,,0.000 ,0.000 ,0.500 ,0.678 ,0.500 ,0.570 ,0.500 ,0.573 ,0.500 ,0.657 ,0.500 ,0.611 ,0.500 ,0.476 ,0.500 ,0.541 ,0.500 ,0.614 ,0.500 ,0.468 ,0.500 ,0.576 ,0.500 ,0.503 
"Image_Classification,CWE,19_190","(0.0, 0.0)","(0.4800000123679638, 0.6200000137090683)","(0.6666666775941849, 0.5600000128149987)","(0.5466666735708714, 0.5733333438634872)","(0.4200000137090683, 0.47333334684371947)","(0.4666666753590107, 0.6333333492279053)","(0.38666667342185973, 0.6000000089406967)","(0.6000000141561032, 0.6733333498239518)","(0.566666679084301, 0.48666668087244036)","(0.45333334505558015, 0.526666684448719)","(0.7266666799783706, 0.5066666796803474)","(0.5533333405852318, 0.54666668176651)",,,0.000 ,0.000 ,0.480 ,0.620 ,0.667 ,0.560 ,0.547 ,0.573 ,0.420 ,0.473 ,0.467 ,0.633 ,0.387 ,0.600 ,0.600 ,0.673 ,0.567 ,0.487 ,0.453 ,0.527 ,0.727 ,0.507 ,0.553 ,0.547 
"Image_Classification,CWE,19_476","(0.0, 0.0)","(0.4277777850627899, 0.6711111158132553)","(0.511111120134592, 0.6533333420753479)","(0.42666666880249976, 0.544444453716278)","(0.5411111213266849, 0.5655555546283721)","(0.4822222262620926, 0.5477777883410454)","(0.4611111216247082, 0.5544444561004639)","(0.4966666728258133, 0.47444445490837095)","(0.5555555626749993, 0.5044444479048252)","(0.5444444499909877, 0.5133333414793014)","(0.5666666686534881, 0.5722222313284874)","(0.4822222329676151, 0.5311111211776733)",,,0.000 ,0.000 ,0.428 ,0.671 ,0.511 ,0.653 ,0.427 ,0.544 ,0.541 ,0.566 ,0.482 ,0.548 ,0.461 ,0.554 ,0.497 ,0.474 ,0.556 ,0.504 ,0.544 ,0.513 ,0.567 ,0.572 ,0.482 ,0.531 
"Image_Classification,CWE,19_479","(0.0, 0.0)","(0.4833333373069763, 0.5416666686534881)","(0.4916666716337204, 0.4916666686534882)","(0.4916666716337204, 0.7833333373069763)","(0.4916666716337204, 0.5166666686534882)","(0.5000000029802323, 0.6083333373069764)","(0.5083333373069763, 0.33333333730697634)","(0.4916666716337204, 0.6000000059604644)","(0.5083333373069763, 0.4333333373069763)","(0.4916666716337204, 0.5250000029802322)","(0.4916666716337204, 0.4250000029802322)","(0.5000000059604645, 0.5750000029802322)",,,0.000 ,0.000 ,0.483 ,0.542 ,0.492 ,0.492 ,0.492 ,0.783 ,0.492 ,0.517 ,0.500 ,0.608 ,0.508 ,0.333 ,0.492 ,0.600 ,0.508 ,0.433 ,0.492 ,0.525 ,0.492 ,0.425 ,0.500 ,0.575 
"Image_Classification,CWE,19_680","(0.0, 0.0)","(0.4996305376291275, 0.9910714328289032)","(0.4996305346488953, 0.9892857193946838)","(0.4996305376291275, 0.9875000059604645)","(0.49987684190273285, 0.9892857193946838)","(0.49963054358959197, 0.9875000059604645)","(0.5001231551170349, 0.8535714387893677)","(0.5000000059604645, 0.7607142895460128)","(0.4993842333555222, 0.575)","(0.5002463012933731, 0.5089285790920257)","(0.4997536987066269, 0.5392857074737549)","(0.4996305376291275, 0.4892857164144516)",,,0.000 ,0.000 ,0.500 ,0.991 ,0.500 ,0.989 ,0.500 ,0.988 ,0.500 ,0.989 ,0.500 ,0.988 ,0.500 ,0.854 ,0.500 ,0.761 ,0.499 ,#VALUE!,0.500 ,0.509 ,0.500 ,0.539 ,0.500 ,0.489 
"Image_Classification,CWE,19_758","(0.0, 0.0)","(0.5622109208256006, 0.6792321890592575)","(0.47312673144042494, 0.6820074021816254)","(0.503191490471363, 0.5979648500680923)","(0.3913043484091759, 0.6361239582300187)","(0.5640147987753152, 0.6915356189012527)","(0.5578168302774429, 0.711609622836113)","(0.5955596715211868, 0.6857076764106751)","(0.46817761212587355, 0.464061057753861)","(0.6053191512823105, 0.5811748325824737)","(0.5129509717226028, 0.6035152673721313)","(0.408464377745986, 0.49065679907798765)",,,0.000 ,0.000 ,0.562 ,0.679 ,0.473 ,0.682 ,0.503 ,0.598 ,0.391 ,0.636 ,0.564 ,0.692 ,0.558 ,0.712 ,0.596 ,0.686 ,0.468 ,0.464 ,0.605 ,0.581 ,0.513 ,0.604 ,0.408 ,0.491 
"Image_Classification,CWE,19_761","(0.0, 0.0)","(0.4998051911592484, 0.6098701238632203)","(0.499935057759285, 0.6613311737775802)","(0.4999350726604462, 0.6939610362052917)","(0.4999675273895264, 0.6723701238632203)","(0.4998701184988022, 0.6305519580841065)","(0.499675327539444, 0.5363961070775985)","(0.5000649392604828, 0.4544155940413475)","(0.5001623362302781, 0.5756493598222733)","(0.5002922058105469, 0.47675325274467467)","(0.5001623362302781, 0.5017532497644425)","(0.49996752440929415, 0.4822727367281914)",,,0.000 ,0.000 ,0.500 ,0.610 ,0.500 ,0.661 ,0.500 ,0.694 ,0.500 ,0.672 ,0.500 ,0.631 ,0.500 ,0.536 ,0.500 ,0.454 ,0.500 ,0.576 ,0.500 ,0.477 ,0.500 ,0.502 ,0.500 ,0.482 
"Image_Classification,CWE,19_78","(0.0, 0.0)","(0.7097813755273819, 0.6972252309322358)","(0.7342681795358658, 0.6677657753229141)","(0.6665585994720459, 0.6891351401805877)","(0.6721854090690613, 0.6531891882419586)","(0.7173954159021377, 0.5584324300289154)","(0.5772258073091507, 0.6062702775001526)","(0.5252173289656639, 0.5619639605283737)","(0.657282143831253, 0.6660540521144866)","(0.5337331421673298, 0.6355495452880859)","(0.480781539529562, 0.47045045495033266)","(0.46123177632689477, 0.5707387417554856)",,,0.000 ,0.000 ,0.710 ,0.697 ,0.734 ,0.668 ,0.667 ,0.689 ,0.672 ,0.653 ,0.717 ,0.558 ,0.577 ,0.606 ,0.525 ,0.562 ,0.657 ,0.666 ,0.534 ,0.636 ,0.481 ,0.470 ,0.461 ,0.571 
"Image_Classification,CWE,20_127","(0.0, 0.0)","(0.5357142947614193, 0.7196428447961807)","(0.37499999478459356, 0.7000000029802322)","(0.5553571358323097, 0.7660714328289032)","(0.4464285671710968, 0.5928571373224258)","(0.5535714298486709, 0.6625)","(0.3767857115715742, 0.6339285731315613)","(0.49999999478459356, 0.6267857164144516)","(0.4142857104539871, 0.6196428589522839)","(0.5589285627007484, 0.6410714238882065)","(0.39821428433060646, 0.6410714268684388)","(0.5160714298486709, 0.5499999940395355)",,,0.000 ,0.000 ,0.536 ,0.720 ,0.375 ,0.700 ,0.555 ,0.766 ,0.446 ,0.593 ,0.554 ,0.663 ,0.377 ,0.634 ,0.500 ,0.627 ,0.414 ,0.620 ,0.559 ,0.641 ,0.398 ,0.641 ,0.516 ,0.550 
"Image_Classification,CWE,20_190","(0.0, 0.0)","(0.4066666759550571, 0.6733333468437195)","(0.4133333429694176, 0.5600000143051147)","(0.5133333452045917, 0.5466666758060456)","(0.58666667714715, 0.633333346247673)","(0.42666667848825457, 0.4800000056624413)","(0.5466666787862777, 0.6066666796803475)","(0.4800000123679638, 0.6800000131130218)","(0.4200000107288361, 0.49333334639668464)","(0.5466666802763939, 0.5800000131130219)","(0.5200000107288361, 0.4066666796803474)","(0.620000010728836, 0.4733333483338356)",,,0.000 ,0.000 ,0.407 ,0.673 ,0.413 ,0.560 ,0.513 ,0.547 ,0.587 ,0.633 ,0.427 ,0.480 ,0.547 ,0.607 ,0.480 ,0.680 ,0.420 ,0.493 ,0.547 ,0.580 ,0.520 ,0.407 ,0.620 ,0.473 
"Image_Classification,CWE,20_78","(0.0, 0.0)","(0.5586091250181198, 0.8933273077011108)","(0.595505277812481, 0.8498582661151886)","(0.5822667881846428, 0.71576429605484)","(0.7044403821229934, 0.928501409292221)","(0.5182410955429078, 0.7248340517282486)","(0.560468190908432, 0.8920582175254822)","(0.49993681609630586, 0.7984686911106109)","(0.6409951984882355, 0.7350855112075806)","(0.4345652341842651, 0.7280626237392426)","(0.46876490861177444, 0.5583020329475403)","(0.5248482219874859, 0.5766057252883912)",,,0.000 ,0.000 ,0.559 ,0.893 ,0.596 ,0.850 ,0.582 ,0.716 ,0.704 ,0.929 ,0.518 ,0.725 ,0.560 ,0.892 ,0.500 ,0.798 ,0.641 ,0.735 ,0.435 ,0.728 ,0.469 ,0.558 ,0.525 ,0.577 
"Image_Classification,CWE,21_121","(0.4654578879475594, 0.498888897895813)","(0.5000366419553757, 0.5045421272516251)","(0.49891331493854524, 0.5011721730232239)","(0.5200122177600861, 0.47339439392089844)","(0.5021733939647675, 0.49000000953674316)","(0.48474970161914827, 0.5265079528093338)","(0.5000488489866257, 0.5341269999742508)","(0.5131257772445679, 0.5010744899511337)","(0.4866666793823242, 0.5043223589658737)","(0.49108670055866244, 0.48901099562644956)","(0.4868009924888611, 0.4821489691734314)","(0.5011965930461884, 0.5163980603218079)",,,0.465 ,0.499 ,0.500 ,0.505 ,0.499 ,0.501 ,0.520 ,0.473 ,0.502 ,0.490 ,0.485 ,0.527 ,0.500 ,0.534 ,0.513 ,0.501 ,0.487 ,0.504 ,0.491 ,0.489 ,0.487 ,0.482 ,0.501 ,0.516 
"Image_Classification,CWE,21_122","(0.5057894736528397, 0.5057894736528397)","(0.501578950881958, 0.5097368478775024)","(0.503684201836586, 0.5023684233427048)","(0.4584210529923439, 0.5005263239145279)","(0.5315789461135865, 0.4984210550785065)","(0.4994736880064011, 0.4965789496898651)","(0.5510526329278946, 0.49289473295211794)","(0.49631579518318175, 0.5005263149738312)","(0.4789473623037338, 0.5068421095609665)","(0.5078947305679321, 0.5194736868143082)","(0.5047368466854095, 0.4936842083930969)","(0.4931578993797302, 0.5015789479017257)",,,0.506 ,0.506 ,0.502 ,0.510 ,0.504 ,0.502 ,0.458 ,0.501 ,0.532 ,0.498 ,0.499 ,0.497 ,0.551 ,0.493 ,0.496 ,0.501 ,0.479 ,0.507 ,0.508 ,0.519 ,0.505 ,0.494 ,0.493 ,0.502 
"Image_Classification,CWE,21_124","(0.46428572237491605, 0.5107142865657807)","(0.5071428507566452, 0.5178571432828903)","(0.5142857223749161, 0.5178571462631225)","(0.5142857223749161, 0.5035714238882065)","(0.521428570151329, 0.5357142865657807)","(0.49642857909202576, 0.4928571432828903)","(0.49285713732242586, 0.4892857164144516)","(0.5107142835855484, 0.5000000059604645)","(0.4964285850524902, 0.5500000149011612)","(0.5249999940395356, 0.4999999970197678)","(0.49107142984867097, 0.5071428507566452)","(0.5071428537368774, 0.5214285731315613)",,,0.464 ,0.511 ,0.507 ,0.518 ,0.514 ,0.518 ,0.514 ,0.504 ,0.521 ,0.536 ,0.496 ,0.493 ,0.493 ,0.489 ,0.511 ,0.500 ,0.496 ,0.550 ,0.525 ,0.500 ,0.491 ,0.507 ,0.507 ,0.521 
"Image_Classification,CWE,21_126","(0.479233518242836, 0.4699643611907959)","(0.5060606062412262, 0.46693405210971833)","(0.51800357401371, 0.4942067861557007)","(0.5511586606502533, 0.5182709515094757)","(0.5533868193626403, 0.4996435046195984)","(0.4973262071609497, 0.5623885959386825)","(0.478787887096405, 0.5121212124824523)","(0.5213903814554215, 0.4768270969390869)","(0.4524955481290817, 0.4733511656522751)","(0.49447415471076966, 0.5024955481290817)","(0.5154189050197602, 0.5331550866365433)","(0.49144386053085326, 0.4557041049003601)",,,0.479 ,0.470 ,0.506 ,0.467 ,0.518 ,0.494 ,0.551 ,0.518 ,0.553 ,0.500 ,0.497 ,0.562 ,0.479 ,0.512 ,0.521 ,0.477 ,0.452 ,0.473 ,0.494 ,0.502 ,0.515 ,0.533 ,0.491 ,0.456 
"Image_Classification,CWE,21_127","(0.44642857313156126, 0.48928571343421934)","(0.48571428954601287, 0.5142857134342194)","(0.49285714626312255, 0.5178571552038193)","(0.48214285671710966, 0.5178571552038193)","(0.49821428060531614, 0.5071428537368774)","(0.47857142686843873, 0.4589285790920258)","(0.49642857611179353, 0.5285714387893676)","(0.5, 0.4821428507566452)","(0.475, 0.496428570151329)","(0.5464285671710968, 0.5035714358091354)","(0.45714286267757415, 0.5196428626775742)","(0.4999999970197678, 0.5392857134342194)",,,0.446 ,0.489 ,0.486 ,0.514 ,0.493 ,0.518 ,0.482 ,0.518 ,0.498 ,0.507 ,0.479 ,0.459 ,0.496 ,0.529 ,0.500 ,0.482 ,0.475 ,0.496 ,0.546 ,0.504 ,0.457 ,0.520 ,0.500 ,0.539 
"Image_Classification,CWE,21_134","(0.527027028799057, 0.5081081062555313)","(0.5270270198583603, 0.46756756901741026)","(0.4891891866922379, 0.5000000029802323)","(0.51081081032753, 0.49729729294776914)","(0.4972973018884659, 0.49459460079669954)","(0.4999999970197678, 0.4918918937444687)","(0.4702702671289444, 0.5243243187665939)","(0.5135135173797607, 0.5162162154912948)","(0.46756756603717803, 0.472972971200943)","(0.5081081032752991, 0.4972972959280014)","(0.48108107447624204, 0.5189189165830612)","(0.5108108133077621, 0.48378378450870513)",,,0.527 ,0.508 ,0.527 ,0.468 ,0.489 ,0.500 ,0.511 ,0.497 ,0.497 ,0.495 ,0.500 ,0.492 ,0.470 ,0.524 ,0.514 ,0.516 ,0.468 ,0.473 ,0.508 ,0.497 ,0.481 ,0.519 ,0.511 ,0.484 
"Image_Classification,CWE,21_190","(0.44000001102685926, 0.42000000923871994)","(0.5133333474397659, 0.5533333495259285)","(0.4533333495259285, 0.5466666802763939)","(0.6066666841506958, 0.40666667446494104)","(0.5200000166893005, 0.5200000122189522)","(0.4800000101327896, 0.5933333426713944)","(0.5000000178813935, 0.45333334505558015)","(0.4400000125169754, 0.39333334416151045)","(0.4400000125169754, 0.4866666793823242)","(0.5200000166893005, 0.4866666838526726)","(0.44666667878627775, 0.5733333453536034)","(0.49333335012197493, 0.5866666860878468)",,,0.440 ,0.420 ,0.513 ,0.553 ,0.453 ,0.547 ,0.607 ,0.407 ,0.520 ,0.520 ,0.480 ,0.593 ,0.500 ,0.453 ,0.440 ,0.393 ,0.440 ,0.487 ,0.520 ,0.487 ,0.447 ,0.573 ,0.493 ,0.587 
"Image_Classification,CWE,21_476","(0.498888897895813, 0.5722222298383712)","(0.5500000089406967, 0.4077777862548828)","(0.5177777841687202, 0.3344444543123245)","(0.4911111183464527, 0.45888889878988265)","(0.576666671037674, 0.5622222334146499)","(0.5088888972997665, 0.5511111199855805)","(0.45333333760499955, 0.5211111187934876)","(0.5200000062584877, 0.42444445192813873)","(0.44777778834104537, 0.5022222310304642)","(0.5288888923823833, 0.4388889014720917)","(0.4966666802763939, 0.41555555909872055)","(0.4600000135600567, 0.5433333486318588)",,,0.499 ,0.572 ,0.550 ,0.408 ,0.518 ,0.334 ,0.491 ,0.459 ,0.577 ,0.562 ,0.509 ,0.551 ,0.453 ,0.521 ,0.520 ,0.424 ,0.448 ,0.502 ,0.529 ,0.439 ,0.497 ,0.416 ,0.460 ,0.543 
"Image_Classification,CWE,21_479","(0.40000000298023225, 0.26666666865348815)","(0.6083333373069764, 0.4666666716337204)","(0.6083333402872085, 0.5916666716337204)","(0.6500000059604645, 0.4166666716337204)","(0.4833333373069763, 0.5166666716337204)","(0.5166666716337204, 0.4166666716337204)","(0.49166667461395264, 0.4416666716337204)","(0.4916666716337204, 0.4666666716337204)","(0.45000000298023224, 0.5000000029802323)","(0.4750000059604645, 0.4666666716337204)","(0.5916666716337204, 0.4916666716337204)","(0.5083333402872086, 0.3750000029802322)",,,0.400 ,0.267 ,0.608 ,0.467 ,0.608 ,0.592 ,0.650 ,0.417 ,0.483 ,0.517 ,0.517 ,0.417 ,0.492 ,0.442 ,0.492 ,0.467 ,0.450 ,0.500 ,0.475 ,0.467 ,0.592 ,0.492 ,0.508 ,0.375 
"Image_Classification,CWE,21_680","(0.49298030138015747, 0.5103448241949081)","(0.5246305346488953, 0.49667487740516664)","(0.4955665111541748, 0.5040640324354172)","(0.531650248169899, 0.48977832198143006)","(0.5242610782384872, 0.4623152673244476)","(0.4967980235815048, 0.5178571403026581)","(0.5236453205347061, 0.4681034415960312)","(0.4826354652643204, 0.4966748714447021)","(0.4965517193078995, 0.48263545632362365)","(0.5070197016000748, 0.5073891520500183)","(0.4793103337287903, 0.5071428567171097)","(0.5039408832788468, 0.520689657330513)",,,0.493 ,0.510 ,0.525 ,0.497 ,0.496 ,0.504 ,0.532 ,0.490 ,0.524 ,0.462 ,0.497 ,0.518 ,0.524 ,0.468 ,0.483 ,0.497 ,0.497 ,0.483 ,0.507 ,0.507 ,0.479 ,0.507 ,0.504 ,0.521 
"Image_Classification,CWE,21_758","(0.5214616060256958, 0.4764569878578186)","(0.5214616090059281, 0.5061054557561875)","(0.4788159132003784, 0.4678538411855698)","(0.5105920433998108, 0.4549953699111938)","(0.504301568865776, 0.5086031436920166)","(0.4554116576910019, 0.517298799753189)","(0.5046253502368927, 0.5105920404195785)","(0.5318223804235458, 0.5083718746900558)","(0.5237280249595642, 0.4807123064994812)","(0.4702127665281296, 0.455180387198925)","(0.49167437851428986, 0.46780758798122407)","(0.5149861186742782, 0.5339962929487229)",,,0.521 ,0.476 ,0.521 ,0.506 ,0.479 ,0.468 ,0.511 ,0.455 ,0.504 ,0.509 ,0.455 ,0.517 ,0.505 ,0.511 ,0.532 ,0.508 ,0.524 ,0.481 ,0.470 ,0.455 ,0.492 ,0.468 ,0.515 ,0.534 
